CO N Idle
47 1 85.69
82 2 76.28
117 3 73.64
144 4 70.22
170 5 64.72
193 6 59.94
213 7 52.01
226 8 47.09
259 9 48.35
274 10 46.54
281 11 41.91
292 12 41.61
294 13 34.07
324 14 33.57
330 15 32.9
340 16 28.14
373 17 23.49
367 18 24.4
347 19 19.08
390 20 20.12
379 21 22.04
392 22 18.29
397 23 17.27
426 24 10.24
386 25 10.15
454 26 11.13
450 27 11.35
471 28 7.23
439 29 11.94
481 30 6.01
417 31 5.31
474 32 5.42
484 33 3.2
494 34 2.41
491 35 4.91
490 36 2.51
455 37 0.7
501 38 2.71
509 39 1
493 40 2.1
500 41 0.8
508 42 1
456 43 0.9
508 44 0.7
504 45 0.5
496 46 0.6
505 47 0.6
497 48 0.7
467 49 0
505 50 0.7
500 51 0.6
491 52 0.3
499 53 0.3
451 54 0
492 55 0
506 56 0.2
496 57 0.3
500 58 0.1
486 59 0.2
448 60 0.2
499 61 0.4
500 62 0
494 63 0
500 64 0
481 65 0
464 66 0
492 67 0
496 68 0
494 69 0.4
498 70 0
438 71 0
486 72 0
462 73 0
425 74 0
450 75 0
483 76 0
462 77 0
481 78 0
477 79 0
477 80 0
489 81 0
487 82 0
495 83 0
483 84 0
504 85 0
491 86 0
499 87 0
441 88 0
481 89 0
485 90 0
472 91 0
484 92 0
477 93 0
447 94 0
481 95 0
480 96 0
482 97 0
480 98 0
417 99 0
482 100 0
469 101 0
446 102 0
440 103 0
442 104 0
415 105 0
450 106 0
444 107 0
435 108 0
442 109 0
422 110 0
444 111 0
450 112 0
451 113 0
397 114 0
425 115 0
344 116 0
454 117 0
466 118 0
468 119 0
475 120 0
476 121 0
480 122 0
483 123 0
480 124 0
479 125 0
413 126 0
477 127 0
479 128 0
459 129 0
487 130 0
453 131 0
420 132 0
454 133 0
452 134 0
461 135 0
475 136 0
412 137 0
460 138 0
458 139 0
451 140 0
463 141 0
434 142 0
446 143 0
448 144 0
448 145 0
450 146 0
456 147 0
417 148 0
446 149 0
458 150 0
